Stock Name,MarketDate,MarketPrice
Safaricom Ltd Ord 0.05,09-Apr-19,27.8500
Car and General (K) Ltd Ord 5.00,09-Apr-19,24.7000
British American Tobacco Kenya Ltd Ord 10.00,09-Apr-19,550.0000
Nairobi Securities Exchange,10-Apr-19,13.5000
Safaricom Ltd Ord 0.05,10-Apr-19,27.7500
Car and General (K) Ltd Ord 5.00,10-Apr-19,24.7000
British American Tobacco Kenya Ltd Ord 10.00,10-Apr-19,550.0000
Safaricom Ltd Ord 0.05,11-Apr-19,27.7000
British American Tobacco Kenya Ltd Ord 10.00,11-Apr-19,550.0000
Car and General (K) Ltd Ord 5.00,11-Apr-19,24.7000
Nairobi Securities Exchange,11-Apr-19,13.4500
British American Tobacco Kenya Ltd Ord 10.00,12-Apr-19,550.0000
Car and General (K) Ltd Ord 5.00,12-Apr-19,25.0000
Nairobi Securities Exchange,12-Apr-19,13.7000
Safaricom Ltd Ord 0.05,12-Apr-19,27.5000
British American Tobacco Kenya Ltd Ord 10.00,15-Apr-19,544.0000
Nairobi Securities Exchange,15-Apr-19,13.5000
Car and General (K) Ltd Ord 5.00,15-Apr-19,25.0000
Safaricom Ltd Ord 0.05,15-Apr-19,27.3000
Safaricom Ltd Ord 0.05,16-Apr-19,27.5000
Nairobi Securities Exchange,16-Apr-19,13.6000
British American Tobacco Kenya Ltd Ord 10.00,16-Apr-19,544.0000
Car and General (K) Ltd Ord 5.00,16-Apr-19,25.0000
Car and General (K) Ltd Ord 5.00,17-Apr-19,25.0000
British American Tobacco Kenya Ltd Ord 10.00,17-Apr-19,544.0000
Nairobi Securities Exchange,17-Apr-19,13.6000
Safaricom Ltd Ord 0.05,17-Apr-19,27.8500
Car and General (K) Ltd Ord 5.00,18-Apr-19,24.8000
Safaricom Ltd Ord 0.05,18-Apr-19,27.8500
Nairobi Securities Exchange,18-Apr-19,13.4500
British American Tobacco Kenya Ltd Ord 10.00,18-Apr-19,544.0000
Car and General (K) Ltd Ord 5.00,23-Apr-19,24.8000
British American Tobacco Kenya Ltd Ord 10.00,23-Apr-19,525.0000
Nairobi Securities Exchange,23-Apr-19,13.6000
Safaricom Ltd Ord 0.05,23-Apr-19,27.9500
Safaricom Ltd Ord 0.05,24-Apr-19,28.0000
British American Tobacco Kenya Ltd Ord 10.00,24-Apr-19,544.0000
Car and General (K) Ltd Ord 5.00,24-Apr-19,24.8000
Nairobi Securities Exchange,24-Apr-19,13.6500
Nairobi Securities Exchange,25-Apr-19,13.7000
British American Tobacco Kenya Ltd Ord 10.00,25-Apr-19,544.0000
Car and General (K) Ltd Ord 5.00,25-Apr-19,24.8000
Safaricom Ltd Ord 0.05,25-Apr-19,27.9500
Car and General (K) Ltd Ord 5.00,26-Apr-19,22.7500
Nairobi Securities Exchange,26-Apr-19,13.0000
British American Tobacco Kenya Ltd Ord 10.00,26-Apr-19,517.0000
Safaricom Ltd Ord 0.05,26-Apr-19,27.9500
Car and General (K) Ltd Ord 5.00,29-Apr-19,22.7500
British American Tobacco Kenya Ltd Ord 10.00,29-Apr-19,505.0000
Safaricom Ltd Ord 0.05,29-Apr-19,28.0000
Nairobi Securities Exchange,29-Apr-19,13.6000
British American Tobacco Kenya Ltd Ord 10.00,30-Apr-19,510.0000
Nairobi Securities Exchange,30-Apr-19,13.1000
Safaricom Ltd Ord 0.05,30-Apr-19,28.1500
Car and General (K) Ltd Ord 5.00,30-Apr-19,22.7500
Nairobi Securities Exchange,02-May-19,13.2000
Car and General (K) Ltd Ord 5.00,02-May-19,22.7500
British American Tobacco Kenya Ltd Ord 10.00,02-May-19,510.0000
Safaricom Ltd Ord 0.05,02-May-19,29.5500
British American Tobacco Kenya Ltd Ord 10.00,03-May-19,510.0000
Car and General (K) Ltd Ord 5.00,03-May-19,22.7500
Safaricom Ltd Ord 0.05,03-May-19,29.2500
Nairobi Securities Exchange,03-May-19,12.5500
Nairobi Securities Exchange,06-May-19,12.6000
British American Tobacco Kenya Ltd Ord 10.00,06-May-19,505.0000
Safaricom Ltd Ord 0.05,06-May-19,28.6500
Car and General (K) Ltd Ord 5.00,06-May-19,22.7500
Safaricom Ltd Ord 0.05,07-May-19,28.6000
British American Tobacco Kenya Ltd Ord 10.00,07-May-19,514.0000
Nairobi Securities Exchange,07-May-19,12.7000
Car and General (K) Ltd Ord 5.00,07-May-19,23.2000
Safaricom Ltd Ord 0.05,08-May-19,28.1500
British American Tobacco Kenya Ltd Ord 10.00,08-May-19,514.0000
Car and General (K) Ltd Ord 5.00,08-May-19,23.2000
Nairobi Securities Exchange,08-May-19,12.9000
Nairobi Securities Exchange,09-May-19,12.7500
Safaricom Ltd Ord 0.05,09-May-19,27.9500
Car and General (K) Ltd Ord 5.00,09-May-19,23.0000
British American Tobacco Kenya Ltd Ord 10.00,09-May-19,544.0000
Nairobi Securities Exchange,10-May-19,12.9500
British American Tobacco Kenya Ltd Ord 10.00,10-May-19,530.0000
Safaricom Ltd Ord 0.05,10-May-19,27.4500
Car and General (K) Ltd Ord 5.00,10-May-19,23.0000
British American Tobacco Kenya Ltd Ord 10.00,13-May-19,514.0000
Safaricom Ltd Ord 0.05,13-May-19,27.2000
Car and General (K) Ltd Ord 5.00,13-May-19,23.0000
Nairobi Securities Exchange,13-May-19,12.8500
Safaricom Ltd Ord 0.05,14-May-19,26.4000
British American Tobacco Kenya Ltd Ord 10.00,14-May-19,510.0000
Car and General (K) Ltd Ord 5.00,14-May-19,23.0000
Nairobi Securities Exchange,14-May-19,13.0000
British American Tobacco Kenya Ltd Ord 10.00,15-May-19,510.0000
Nairobi Securities Exchange,15-May-19,13.0500
Safaricom Ltd Ord 0.05,15-May-19,26.7000
Car and General (K) Ltd Ord 5.00,15-May-19,23.0000
Safaricom Ltd Ord 0.05,16-May-19,26.2500
Nairobi Securities Exchange,16-May-19,13.0500
Car and General (K) Ltd Ord 5.00,16-May-19,23.0000
British American Tobacco Kenya Ltd Ord 10.00,16-May-19,510.0000
Safaricom Ltd Ord 0.05,17-May-19,26.1500
British American Tobacco Kenya Ltd Ord 10.00,17-May-19,510.0000
Car and General (K) Ltd Ord 5.00,17-May-19,23.0000
Nairobi Securities Exchange,17-May-19,13.0000
British American Tobacco Kenya Ltd Ord 10.00,20-May-19,505.0000
Safaricom Ltd Ord 0.05,20-May-19,26.2000
Nairobi Securities Exchange,20-May-19,12.7500
Car and General (K) Ltd Ord 5.00,20-May-19,23.0000
Nairobi Securities Exchange,21-May-19,12.7500
Safaricom Ltd Ord 0.05,21-May-19,26.3500
Car and General (K) Ltd Ord 5.00,21-May-19,21.1500
British American Tobacco Kenya Ltd Ord 10.00,21-May-19,485.2500
Safaricom Ltd Ord 0.05,22-May-19,26.1000
Nairobi Securities Exchange,22-May-19,12.9000
Car and General (K) Ltd Ord 5.00,22-May-19,21.0000
British American Tobacco Kenya Ltd Ord 10.00,22-May-19,486.0000
British American Tobacco Kenya Ltd Ord 10.00,23-May-19,510.0000
Car and General (K) Ltd Ord 5.00,23-May-19,21.0000
Safaricom Ltd Ord 0.05,23-May-19,26.1500
Nairobi Securities Exchange,23-May-19,12.8500
British American Tobacco Kenya Ltd Ord 10.00,24-May-19,508.0000
Nairobi Securities Exchange,24-May-19,12.7500
Safaricom Ltd Ord 0.05,24-May-19,26.4500
Car and General (K) Ltd Ord 5.00,24-May-19,21.0000
Car and General (K) Ltd Ord 5.00,27-May-19,21.0000
Safaricom Ltd Ord 0.05,27-May-19,26.8000
British American Tobacco Kenya Ltd Ord 10.00,27-May-19,508.0000
Nairobi Securities Exchange,27-May-19,12.9500
British American Tobacco Kenya Ltd Ord 10.00,28-May-19,508.0000
Car and General (K) Ltd Ord 5.00,28-May-19,21.0000
Nairobi Securities Exchange,28-May-19,12.9000
Safaricom Ltd Ord 0.05,28-May-19,28.3500
Safaricom Ltd Ord 0.05,29-May-19,28.0000
Car and General (K) Ltd Ord 5.00,29-May-19,23.1000
British American Tobacco Kenya Ltd Ord 10.00,29-May-19,508.0000
Nairobi Securities Exchange,29-May-19,12.7000
Nairobi Securities Exchange,30-May-19,12.9500
British American Tobacco Kenya Ltd Ord 10.00,30-May-19,500.0000
Car and General (K) Ltd Ord 5.00,30-May-19,23.1000
Safaricom Ltd Ord 0.05,30-May-19,27.6500
British American Tobacco Kenya Ltd Ord 10.00,31-May-19,508.0000
Nairobi Securities Exchange,31-May-19,12.6500
Car and General (K) Ltd Ord 5.00,31-May-19,23.0000
Safaricom Ltd Ord 0.05,31-May-19,27.4500
Car and General (K) Ltd Ord 5.00,03-Jun-19,23.0000
Safaricom Ltd Ord 0.05,03-Jun-19,27.6500
British American Tobacco Kenya Ltd Ord 10.00,03-Jun-19,500.0000
Nairobi Securities Exchange,03-Jun-19,12.6500
Car and General (K) Ltd Ord 5.00,04-Jun-19,23.0000
Safaricom Ltd Ord 0.05,04-Jun-19,27.7000
British American Tobacco Kenya Ltd Ord 10.00,04-Jun-19,499.2500
Nairobi Securities Exchange,04-Jun-19,12.6500
Safaricom Ltd Ord 0.05,06-Jun-19,27.7000
Nairobi Securities Exchange,06-Jun-19,12.7000
British American Tobacco Kenya Ltd Ord 10.00,06-Jun-19,495.2500
Car and General (K) Ltd Ord 5.00,06-Jun-19,23.0000
Car and General (K) Ltd Ord 5.00,07-Jun-19,25.3000
Safaricom Ltd Ord 0.05,07-Jun-19,27.4000
British American Tobacco Kenya Ltd Ord 10.00,07-Jun-19,495.0000
Nairobi Securities Exchange,07-Jun-19,12.5000
Safaricom Ltd Ord 0.05,10-Jun-19,27.4500
British American Tobacco Kenya Ltd Ord 10.00,10-Jun-19,495.0000
Nairobi Securities Exchange,10-Jun-19,12.3500
Car and General (K) Ltd Ord 5.00,10-Jun-19,25.3000
Safaricom Ltd Ord 0.05,11-Jun-19,27.5500
Nairobi Securities Exchange,11-Jun-19,12.3500
British American Tobacco Kenya Ltd Ord 10.00,11-Jun-19,495.5000
Car and General (K) Ltd Ord 5.00,11-Jun-19,25.3000
British American Tobacco Kenya Ltd Ord 10.00,12-Jun-19,495.0000
Safaricom Ltd Ord 0.05,12-Jun-19,27.5000
Car and General (K) Ltd Ord 5.00,12-Jun-19,25.3000
Nairobi Securities Exchange,12-Jun-19,12.3000
British American Tobacco Kenya Ltd Ord 10.00,13-Jun-19,503.0000
Safaricom Ltd Ord 0.05,13-Jun-19,27.3500
Nairobi Securities Exchange,13-Jun-19,12.2500
Car and General (K) Ltd Ord 5.00,13-Jun-19,25.0000
Nairobi Securities Exchange,14-Jun-19,12.5000
British American Tobacco Kenya Ltd Ord 10.00,14-Jun-19,504.0000
Car and General (K) Ltd Ord 5.00,14-Jun-19,24.3000
Safaricom Ltd Ord 0.05,14-Jun-19,27.2000
